comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.092800140380859,5.13,5.13,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.02623987197876,5.19,5.19,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.276095867156982,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.1829118728637695,5.05,5.05,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.24166400730609894,0.03,0.03,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.698368072509766,5.03,5.03,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.79974365234375,5.0,5.0,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.778240203857422,5.01,5.01,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.1085439994931221,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.100992202758789,5.12,5.12,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.107135772705078,5.12,5.12,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.200319766998291,5.04,5.04,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.2566399574279785,4.99,4.99,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.11161600053310394,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.731136322021484,5.02,5.02,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.863231658935547,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.8407039642334,4.99,4.99,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.11999999731779099,0.06,0.06,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.053887844085693,5.16,5.16,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,5.9903998374938965,5.22,5.22,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.200319766998291,5.04,5.04,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.163455963134766,5.07,5.07,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.2662400007247925,0.03,0.03,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.743423461914062,5.02,5.02,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.737279891967773,5.02,5.02,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.8591365814209,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.10844799876213074,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.115327835083008,5.11,5.11,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.085631847381592,5.14,5.14,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.172671794891357,5.06,5.06,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.271999835968018,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.1945600062608719,0.04,0.04,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.78643226623535,5.0,5.0,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.77516746520996,5.01,5.01,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,15.164416313171387,5.54,5.54,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.11657600104808807,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.071296215057373,5.15,5.15,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.087679862976074,5.13,5.13,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.148096084594727,5.08,5.08,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.269951820373535,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.11878400295972824,0.06,0.06,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.942079544067383,4.96,4.96,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.624479293823242,5.05,5.05,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.827392578125,4.99,4.99,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.10956799983978271,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.1327362060546875,5.1,5.1,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.112256050109863,5.11,5.11,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.237184047698975,5.01,5.01,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.2412800788879395,5.01,5.01,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.10444799810647964,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.680959701538086,5.03,5.03,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.83558464050293,4.99,4.99,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.905216217041016,4.97,4.97,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.11059200018644333,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.110208034515381,5.11,5.11,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.092800140380859,5.13,5.13,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.165503978729248,5.07,5.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.294528007507324,4.96,4.96,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.11673600226640701,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.761856079101562,5.01,5.01,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.866304397583008,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.855039596557617,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.10547199845314026,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.06822395324707,5.15,5.15,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.1030402183532715,5.12,5.12,1
